year,age,sex,pop,any_insurance,private_insurance,chip_insurance,mcaid_insurance,mcare_insurance
2000,0,female,1950004,0.891201761637412,0.5638352536712745,0.014668175039640944,0.2888260742029247,0.0010153825325486512
2000,0,male,1981206,0.8861587336198254,0.6167228445704284,0.009791006084172974,0.2301280129375744,0.001342111824817813
2000,1,female,2021247,0.8595075218417145,0.5358043821462691,0.027841723450919162,0.2609972952340807,0.003082750401113768
2000,1,male,1971851,0.8545589905119606,0.6185954212564743,0.014688736623608985,0.21387873627368398,0.0029307488243280047
2000,2,female,1912194,0.8832702121228285,0.6970966335005758,0.013268528193269093,0.1681074200630271,0.004094772810708537
2000,2,male,1900073,0.8772257697467413,0.6023310683326377,0.012556359676707159,0.24042339425906267,0
2000,3,female,1724788,0.8860874495880073,0.6320857983705823,0.009253311131570952,0.2283486434274821,0.0075191849665002305
2000,3,male,2157487,0.8982149139253215,0.6244501125615125,0.03251607078049601,0.2120606056954225,0.004330964682521842
2000,4,female,1979674,0.8854968040192476,0.6908475839961529,0.017199296449819514,0.16875404738355912,0.002847438517654927
2000,4,male,2010541,0.8917137228238569,0.6741677986173871,0.02330367796528397,0.1619439742835386,0.0048404882069055044
2000,5,female,2112935,0.8604443582031629,0.6357138293416503,0.00746781136192074,0.21427635019534438,0
2000,5,male,2009729,0.8744920335030245,0.6419855612373608,0.03961628657396097,0.16929048642876726,0.00199230841571177
2000,6,female,1942524,0.880258364890215,0.6683031972835342,0.021886473474716398,0.1965365678879643,0
2000,6,male,2077452,0.8732721622449039,0.6676341980464531,0.008080090418454915,0.17867705246619417,0.008076720906187003
2000,7,female,1920563,0.8963850704194551,0.6818630786909881,0.00989345311765352,0.16983926067512495,0.0011840278085123996
2000,7,male,1911875,0.8729932657731285,0.6266539391958156,0.031183000980712652,0.16539104282445244,0.015462830990519778
2000,8,female,1969247,0.8590009277657907,0.6592865191618928,0.020534752623718608,0.13330272941890986,0.005083161228632061
2000,8,male,2256097,0.8651068637563013,0.6399928726468764,0.017725301704669613,0.15852554211986453,0
2000,9,female,2002408,0.8928924574811926,0.6794389554975809,0.02617049072916209,0.1664805574088797,0.004058613429430965
2000,9,male,2160614,0.8684198102946662,0.6802205299049252,0.018704405321820557,0.1670164129270661,0.003913702308695584
2000,10,female,2019582,0.8773488771438842,0.7039426970531526,0.017932423640139396,0.14135746902081717,0.00466532183392405
2000,10,male,2277915,0.884420182491445,0.6840141093938975,0.013856970080095175,0.1665202608525779,0.01083754222611467
2000,11,female,2185294,0.8711367898323978,0.7153490560080246,0.014354590274809705,0.1160274086690395,0.004356850840207313
2000,11,male,2111470,0.8841366441389175,0.7095265383832117,0.01814612568494935,0.15783600998356595,0
2000,12,female,1769201,0.8766618377448351,0.6958564911505251,0.022922211778085136,0.16106988408891923,0.0033958832263829833
2000,12,male,1930379,0.8948807462161575,0.7138877909467519,0.02899948662930958,0.10686295281910961,0
2000,13,female,2007839,0.8829059501284715,0.7060640818312623,0.03668770254985584,0.10260733056783936,0
2000,13,male,2082188,0.8449746132433766,0.6774321050740856,0.02008848384487856,0.12220798506186761,0.002839801209112722
2000,14,female,1961320,0.8657608141455754,0.6529107947708686,0.015133685477127649,0.14921022576632065,0.01360206391613811
2000,14,male,2013938,0.8709275062092279,0.7122974987313413,0.017616729015491044,0.11064193634560746,0.007694377880550444
2000,15,female,2137200,0.8753532659554557,0.6952288040426726,0.0186575893692682,0.14584783829309378,0.0019450683136814524
2000,15,male,2084737,0.870508845959946,0.7060482929021742,0.019816408496611322,0.11202851966459079,0.001876016015449431
2000,16,female,1728614,0.8792737997031147,0.7058880698640645,0.011833179645658314,0.12210360439056955,0.0038192447822359417
2000,16,male,2090616,0.8858556521140181,0.7387272459409093,0.020840747416072582,0.08979745682612206,0.0032841994895284454
2000,17,female,1986554,0.8332831627028513,0.6960072567873815,0.009491310077652054,0.10751884922332844,0.010879643845573793
2000,17,male,1966812,0.8596251192284774,0.7367201339019693,0.020803716877871397,0.06367512502465919,0.0015609016011698118
2000,18,female,1952563,0.8016212537060264,0.6409421872687334,0.009888541368447523,0.11195695094089153,0.005202392957359123
2000,18,male,2037481,0.745977017699797,0.684288589685008,0.002489839169052374,0.03426044218326453,0
2000,19,female,2016137,0.7193419891604589,0.6261667733889116,0,0.07704535951673919,0
2000,19,male,1955301,0.6855691272085475,0.5844777862845669,0,0.10205027256673013,0.007581441425130965
