year,age,sex,pop,any_insurance,private_insurance,chip_insurance,mcaid_insurance,mcare_insurance,over65,age_minus_65
2000,0,female,1950004,0.891201761637412,0.5638352536712745,0.01466817503964094,0.2888260742029247,0.00101538253254865,0,-65
2000,0,male,1981206,0.8861587336198254,0.6167228445704284,0.00979100608417297,0.2301280129375744,0.00134211182481781,0,-65
2000,1,female,2021247,0.8595075218417145,0.5358043821462691,0.02784172345091916,0.2609972952340807,0.00308275040111376,0,-64
2000,1,male,1971851,0.8545589905119606,0.6185954212564743,0.01468873662360898,0.213878736273684,0.002930748824328,0,-64
2000,2,female,1912194,0.8832702121228285,0.6970966335005758,0.01326852819326909,0.1681074200630271,0.00409477281070853,0,-63
2000,2,male,1900073,0.8772257697467413,0.6023310683326377,0.01255635967670715,0.24042339425906267,0,0,-63
2000,3,female,1724788,0.8860874495880073,0.6320857983705823,0.00925331113157095,0.2283486434274821,0.00751918496650023,0,-62
2000,3,male,2157487,0.8982149139253215,0.6244501125615125,0.03251607078049601,0.2120606056954225,0.00433096468252184,0,-62
2000,4,female,1979674,0.8854968040192476,0.6908475839961529,0.01719929644981951,0.16875404738355912,0.00284743851765492,0,-61
2000,4,male,2010541,0.8917137228238569,0.6741677986173871,0.02330367796528397,0.1619439742835386,0.0048404882069055,0,-61
2000,5,female,2112935,0.8604443582031629,0.6357138293416503,0.00746781136192074,0.2142763501953444,0,0,-60
2000,5,male,2009729,0.8744920335030245,0.6419855612373608,0.03961628657396097,0.16929048642876726,0.00199230841571177,0,-60
2000,6,female,1942524,0.880258364890215,0.6683031972835342,0.02188647347471639,0.1965365678879643,0,0,-59
2000,6,male,2077452,0.8732721622449039,0.6676341980464531,0.00808009041845491,0.17867705246619417,0.008076720906187,0,-59
2000,7,female,1920563,0.8963850704194551,0.6818630786909881,0.00989345311765352,0.16983926067512495,0.00118402780851239,0,-58
2000,7,male,1911875,0.8729932657731285,0.6266539391958156,0.03118300098071265,0.16539104282445244,0.01546283099051977,0,-58
